
Host: Hermannis-MacBook-Pro.local

Timers On : Wed Jul 15 01:38:24 2020
Timers Off: Wed Jul 15 02:03:07 2020

Wall Time:     1482.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.567u      0.033s      2.355w    440 calls
DFH: initialize()                   :     11.883u      1.000s      8.076w    440 calls
DFH: AO Construction                :      0.433u      0.000s      0.236w    440 calls
DFH: AO-Met. Contraction            :      0.050u      0.000s      0.016w    440 calls
HF: Form core H                     :      0.183u      1.167s      0.747w    440 calls
HF: Form S/X                        :      0.067u      0.033s      0.054w    440 calls
HF: Guess                           :     32.550u      1.700s     21.113w    440 calls
SAD Guess                           :     30.733u      1.700s     20.120w    440 calls
HF: Form G                          :      1.000u      0.100s      0.709w   7733 calls
JK: D                               :      0.117u      0.017s      0.049w   7733 calls
JK: USO2AO                          :      0.183u      0.000s      0.111w   7733 calls
JK: JK                              :      0.400u      0.050s      0.319w   7733 calls
DFH: compute_JK()                   :      0.383u      0.050s      0.286w   7733 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.010w   7733 calls
DFH: compute_J                      :      0.067u      0.000s      0.083w   7733 calls
DFH: compute_K                      :      0.150u      0.017s      0.106w   7733 calls
JK: AO2USO                          :      0.017u      0.000s      0.049w   7733 calls
HF: Form F                          :      0.133u      0.033s      0.057w   7733 calls
HF: Form D                          :      0.083u      0.000s      0.040w   7733 calls
HF: DIIS                            :      6.683u      1.000s      4.832w   7293 calls
DIISManager::add_entry              :      0.117u      0.550s      0.462w   7293 calls
DIISManager::extrapolate            :      0.800u      0.333s      0.820w   7293 calls
bMatrix setup                       :      0.183u      0.200s      0.313w   7293 calls
bMatrix pseudoinverse               :      0.367u      0.017s      0.269w   7293 calls
New vector                          :      0.183u      0.083s      0.174w   7293 calls
HF: Form C                          :      0.333u      0.017s      0.225w   7293 calls
CIWave: CIvect write                :      0.017u      0.033s      0.020w   1724 calls
CIWave: CIvect read                 :      0.050u      0.017s      0.026w   6809 calls
CIWave: s2                          :      0.000u      0.000s      0.003w    839 calls
CIWave: s3                          :      0.000u      0.000s      0.008w   2838 calls
ccenergy                            :      9.933u     39.500s     39.887w     94 calls
F build                             :      0.283u      0.250s      0.450w    938 calls
Wmbej build                         :      0.633u      0.267s      0.524w    938 calls
C->Wmbej                            :      0.067u      0.067s      0.054w    938 calls
F->Wmbej                            :      0.183u      0.100s      0.144w    938 calls
E->Wmbej                            :      0.083u      0.083s      0.128w    938 calls
X->Wmbej                            :      0.283u      0.017s      0.158w    938 calls
Z                                   :      0.017u      0.000s      0.030w    938 calls
T2 Build                            :      0.900u      0.450s      1.050w    938 calls
BT2                                 :      0.200u      0.083s      0.174w    938 calls
ABCD:new                            :      0.200u      0.083s      0.170w    938 calls
ABCD:S                              :      0.050u      0.017s      0.030w    938 calls
ABCD:A                              :      0.017u      0.050s      0.026w    938 calls
ABCD:axpy                           :      0.033u      0.017s      0.037w    938 calls
FT2                                 :      0.067u      0.033s      0.050w    938 calls
WmbejT2                             :      0.117u      0.167s      0.256w    938 calls
CT2                                 :      0.267u      0.150s      0.349w    938 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.567u      0.033s      2.355w    440 calls
DFH: initialize()                   :     11.883u      1.000s      8.076w    440 calls
| DFH: AO Construction              :      0.433u      0.000s      0.236w    440 calls
| DFH: AO-Met. Contraction          :      0.050u      0.000s      0.016w    440 calls
HF: Form core H                     :      0.183u      1.167s      0.747w    440 calls
HF: Form S/X                        :      0.067u      0.033s      0.054w    440 calls
HF: Guess                           :     32.550u      1.700s     21.113w    440 calls
| SAD Guess                         :     30.733u      1.700s     20.120w    440 calls
HF: Form G                          :      1.000u      0.100s      0.709w   7733 calls
| JK: D                             :      0.117u      0.017s      0.049w   7733 calls
| JK: USO2AO                        :      0.183u      0.000s      0.111w   7733 calls
| JK: JK                            :      0.400u      0.050s      0.319w   7733 calls
| | DFH: compute_JK()               :      0.383u      0.050s      0.286w   7733 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.010w   7733 calls
| | | DFH: compute_J                :      0.067u      0.000s      0.083w   7733 calls
| | | DFH: compute_K                :      0.150u      0.017s      0.106w   7733 calls
| JK: AO2USO                        :      0.017u      0.000s      0.049w   7733 calls
HF: Form F                          :      0.133u      0.033s      0.057w   7733 calls
HF: Form D                          :      0.083u      0.000s      0.040w   7733 calls
HF: DIIS                            :      6.683u      1.000s      4.832w   7293 calls
| DIISManager::add_entry            :      0.117u      0.550s      0.462w   7293 calls
| DIISManager::extrapolate          :      0.800u      0.333s      0.820w   7293 calls
| | bMatrix setup                   :      0.183u      0.200s      0.313w   7293 calls
| | bMatrix pseudoinverse           :      0.367u      0.017s      0.269w   7293 calls
| | New vector                      :      0.183u      0.083s      0.174w   7293 calls
HF: Form C                          :      0.333u      0.017s      0.225w   7293 calls
CIWave: CIvect write                :      0.017u      0.033s      0.020w   1724 calls
CIWave: CIvect read                 :      0.050u      0.017s      0.026w   6809 calls
CIWave: s2                          :      0.000u      0.000s      0.003w    839 calls
CIWave: s3                          :      0.000u      0.000s      0.008w   2838 calls
ccenergy                            :      9.933u     39.500s     39.887w     94 calls
| F build                           :      0.283u      0.250s      0.450w    938 calls
| Wmbej build                       :      0.633u      0.267s      0.524w    938 calls
| | C->Wmbej                        :      0.067u      0.067s      0.054w    938 calls
| | F->Wmbej                        :      0.183u      0.100s      0.144w    938 calls
| | E->Wmbej                        :      0.083u      0.083s      0.128w    938 calls
| | X->Wmbej                        :      0.283u      0.017s      0.158w    938 calls
| Z                                 :      0.017u      0.000s      0.030w    938 calls
| T2 Build                          :      0.900u      0.450s      1.050w    938 calls
| | BT2                             :      0.200u      0.083s      0.174w    938 calls
| | | ABCD:new                      :      0.200u      0.083s      0.170w    938 calls
| | | | ABCD:S                      :      0.050u      0.017s      0.030w    938 calls
| | | | ABCD:A                      :      0.017u      0.050s      0.026w    938 calls
| | | | ABCD:axpy                   :      0.033u      0.017s      0.037w    938 calls
| | FT2                             :      0.067u      0.033s      0.050w    938 calls
| | WmbejT2                         :      0.117u      0.167s      0.256w    938 calls
| | CT2                             :      0.267u      0.150s      0.349w    938 calls

**************************************************************************************

Host: Hermannis-MacBook-Pro.local

Timers On : Wed Jul 15 02:04:07 2020
Timers Off: Thu Jul 16 00:41:43 2020

Wall Time:    32452.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      4.450u      0.050s      2.712w    560 calls
DFH: initialize()                   :     14.250u      1.033s      9.440w    560 calls
DFH: AO Construction                :      0.467u      0.000s      0.264w    560 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.017w    560 calls
HF: Form core H                     :      0.200u      1.117s      0.950w    560 calls
HF: Form S/X                        :      0.050u      0.017s      0.059w    560 calls
HF: Guess                           :     33.733u      1.617s     21.982w    560 calls
SAD Guess                           :     31.950u      1.567s     20.740w    560 calls
HF: Form G                          :      0.433u      0.017s      0.256w   3060 calls
JK: D                               :      0.083u      0.000s      0.020w   3060 calls
JK: USO2AO                          :      0.100u      0.000s      0.040w   3060 calls
JK: JK                              :      0.100u      0.000s      0.107w   3060 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.094w   3060 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.004w   3060 calls
DFH: compute_J                      :      0.017u      0.000s      0.026w   3060 calls
DFH: compute_K                      :      0.050u      0.000s      0.031w   3060 calls
JK: AO2USO                          :      0.000u      0.000s      0.016w   3060 calls
HF: Form F                          :      0.017u      0.017s      0.024w   3060 calls
HF: Form D                          :      0.017u      0.017s      0.014w   3060 calls
HF: DIIS                            :      2.383u      0.683s      1.742w   2500 calls
DIISManager::add_entry              :      0.083u      0.633s      0.344w   2500 calls
DIISManager::extrapolate            :      0.183u      0.017s      0.164w   2500 calls
bMatrix setup                       :      0.050u      0.000s      0.043w   2500 calls
bMatrix pseudoinverse               :      0.100u      0.000s      0.064w   2500 calls
New vector                          :      0.017u      0.017s      0.035w   2500 calls
HF: Form C                          :      0.067u      0.033s      0.064w   2500 calls
CIWave: CIvect write                :      0.000u      0.000s      0.024w   2152 calls
CIWave: CIvect read                 :      0.017u      0.033s      0.024w   6438 calls
CIWave: s2                          :      0.000u      0.000s      0.003w   1072 calls
CIWave: s3                          :      0.000u      0.000s      0.008w   3536 calls
ccenergy                            :     17.117u     68.250s     69.307w    140 calls
F build                             :      0.483u      0.533s      0.709w   1665 calls
Wmbej build                         :      0.800u      0.567s      0.783w   1665 calls
C->Wmbej                            :      0.067u      0.050s      0.086w   1665 calls
F->Wmbej                            :      0.183u      0.233s      0.199w   1665 calls
E->Wmbej                            :      0.233u      0.150s      0.201w   1665 calls
X->Wmbej                            :      0.283u      0.100s      0.230w   1665 calls
Z                                   :      0.050u      0.000s      0.035w   1665 calls
T2 Build                            :      2.033u      1.167s      1.848w   1665 calls
BT2                                 :      0.400u      0.167s      0.319w   1665 calls
ABCD:new                            :      0.400u      0.167s      0.312w   1665 calls
ABCD:S                              :      0.050u      0.033s      0.056w   1665 calls
ABCD:A                              :      0.050u      0.017s      0.050w   1665 calls
ABCD:axpy                           :      0.017u      0.017s      0.066w   1665 calls
FT2                                 :      0.083u      0.033s      0.079w   1665 calls
WmbejT2                             :      0.383u      0.333s      0.422w   1665 calls
CT2                                 :      0.683u      0.450s      0.593w   1665 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      4.450u      0.050s      2.712w    560 calls
DFH: initialize()                   :     14.250u      1.033s      9.440w    560 calls
| DFH: AO Construction              :      0.467u      0.000s      0.264w    560 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.017w    560 calls
HF: Form core H                     :      0.200u      1.117s      0.950w    560 calls
HF: Form S/X                        :      0.050u      0.017s      0.059w    560 calls
HF: Guess                           :     33.733u      1.617s     21.982w    560 calls
| SAD Guess                         :     31.950u      1.567s     20.740w    560 calls
HF: Form G                          :      0.433u      0.017s      0.256w   3060 calls
| JK: D                             :      0.083u      0.000s      0.020w   3060 calls
| JK: USO2AO                        :      0.100u      0.000s      0.040w   3060 calls
| JK: JK                            :      0.100u      0.000s      0.107w   3060 calls
| | DFH: compute_JK()               :      0.100u      0.000s      0.094w   3060 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.004w   3060 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.026w   3060 calls
| | | DFH: compute_K                :      0.050u      0.000s      0.031w   3060 calls
| JK: AO2USO                        :      0.000u      0.000s      0.016w   3060 calls
HF: Form F                          :      0.017u      0.017s      0.024w   3060 calls
HF: Form D                          :      0.017u      0.017s      0.014w   3060 calls
HF: DIIS                            :      2.383u      0.683s      1.742w   2500 calls
| DIISManager::add_entry            :      0.083u      0.633s      0.344w   2500 calls
| DIISManager::extrapolate          :      0.183u      0.017s      0.164w   2500 calls
| | bMatrix setup                   :      0.050u      0.000s      0.043w   2500 calls
| | bMatrix pseudoinverse           :      0.100u      0.000s      0.064w   2500 calls
| | New vector                      :      0.017u      0.017s      0.035w   2500 calls
HF: Form C                          :      0.067u      0.033s      0.064w   2500 calls
CIWave: CIvect write                :      0.000u      0.000s      0.024w   2152 calls
CIWave: CIvect read                 :      0.017u      0.033s      0.024w   6438 calls
CIWave: s2                          :      0.000u      0.000s      0.003w   1072 calls
CIWave: s3                          :      0.000u      0.000s      0.008w   3536 calls
ccenergy                            :     17.117u     68.250s     69.307w    140 calls
| F build                           :      0.483u      0.533s      0.709w   1665 calls
| Wmbej build                       :      0.800u      0.567s      0.783w   1665 calls
| | C->Wmbej                        :      0.067u      0.050s      0.086w   1665 calls
| | F->Wmbej                        :      0.183u      0.233s      0.199w   1665 calls
| | E->Wmbej                        :      0.233u      0.150s      0.201w   1665 calls
| | X->Wmbej                        :      0.283u      0.100s      0.230w   1665 calls
| Z                                 :      0.050u      0.000s      0.035w   1665 calls
| T2 Build                          :      2.033u      1.167s      1.848w   1665 calls
| | BT2                             :      0.400u      0.167s      0.319w   1665 calls
| | | ABCD:new                      :      0.400u      0.167s      0.312w   1665 calls
| | | | ABCD:S                      :      0.050u      0.033s      0.056w   1665 calls
| | | | ABCD:A                      :      0.050u      0.017s      0.050w   1665 calls
| | | | ABCD:axpy                   :      0.017u      0.017s      0.066w   1665 calls
| | FT2                             :      0.083u      0.033s      0.079w   1665 calls
| | WmbejT2                         :      0.383u      0.333s      0.422w   1665 calls
| | CT2                             :      0.683u      0.450s      0.593w   1665 calls

**************************************************************************************

Host: DESKTOP-1VB572E

Timers On : Thu Jul 16 00:46:21 2020
Timers Off: Thu Jul 16 01:11:34 2020

Wall Time:     1512.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.150u      0.183s      2.394w     77 calls
DFH: initialize()                   :      9.400u      1.800s     10.028w     77 calls
DFH: AO Construction                :      0.000u      0.000s      0.013w     77 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.008w     77 calls
HF: Form core H                     :      0.167u      1.117s      1.609w     77 calls
HF: Form S/X                        :      0.000u      0.000s      0.023w     77 calls
HF: Guess                           :     21.483u      2.633s     17.670w     77 calls
SAD Guess                           :     18.733u      2.383s     15.559w     77 calls
HF: Form G                          :      0.050u      0.033s      0.085w    231 calls
JK: D                               :      0.017u      0.017s      0.007w    231 calls
JK: USO2AO                          :      0.000u      0.000s      0.012w    231 calls
JK: JK                              :      0.000u      0.000s      0.038w    231 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.032w    231 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w    231 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    231 calls
DFH: compute_K                      :      0.000u      0.000s      0.007w    231 calls
JK: AO2USO                          :      0.000u      0.000s      0.004w    231 calls
HF: Form F                          :      0.017u      0.000s      0.010w    231 calls
HF: Form D                          :      0.000u      0.033s      0.004w    231 calls
HF: DIIS                            :      0.517u      0.400s      1.835w    154 calls
DIISManager::add_entry              :      0.100u      0.333s      1.557w    154 calls
DIISManager::extrapolate            :      0.083u      0.033s      0.058w    154 calls
bMatrix setup                       :      0.000u      0.000s      0.012w    154 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.022w    154 calls
New vector                          :      0.000u      0.000s      0.016w    154 calls
HF: Form C                          :      0.000u      0.000s      0.010w    154 calls
CIWave: CIvect write                :      0.050u      0.083s      0.517w    872 calls
CIWave: CIvect read                 :      0.050u      0.350s      0.252w   6442 calls
CIWave: s2                          :      0.000u      0.000s      0.004w    206 calls
CIWave: s3                          :      0.000u      0.000s      0.004w    412 calls
ccenergy                            :      2.733u     23.233s     42.957w     15 calls
F build                             :      0.083u      0.067s      0.130w     91 calls
Wmbej build                         :      0.050u      0.033s      0.473w     91 calls
C->Wmbej                            :      0.033u      0.000s      0.390w     91 calls
F->Wmbej                            :      0.000u      0.000s      0.021w     91 calls
E->Wmbej                            :      0.017u      0.033s      0.029w     91 calls
X->Wmbej                            :      0.000u      0.000s      0.019w     91 calls
